University Name,State,Degree (MS),Degree (Phd),Economics Ranking,Humanities Ranking,Science Ranking,Business Ranking,Computer Science Ranking,Art Management Ranking,Engineering ,Psychology
University of California - Berkeley(In-State),CA,Master,1,7,13,1,1,1,>150,1,7
University of California - Berkeley(Out-of-State),CA,Master,1,18,20,2,2,4,>150,7,9
University of Virginia (UVA) - Main Campus(In-State),VA,Master,1,20,19,49,3,10,30,53,10
Worcester Polytechnic Institute (WPI)(Private),CT,Master,1,>150,>150,>150,4,>150,>150,>150,>150
Georgetown University - Washington D.C.(Private),DC,Master,1,11,41,>150,5,>150,>150,>150,74
Lehigh University(Private),PA,Master,1,27,5,>150,6,>150,>150,>150,>150
Emory University(Private),GA,Master,1,116,>150,>150,7,>150,>150,>150,>150
University of Virginia (UVA) - Main Campus(Out-of-State),VA,Master,1,39,51,>150,8,33,>150,114,23
SUNY - Binghamton University(In-State),NY,Master,1,13,25,47,9,56,25,136,29
Yeshiva University(Private),NY,Master,1,>150,>150,>150,10,>150,>150,>150,>150
California Polytechnic State University (CalPoly) - San Luis Obispo(In-State),CA,Master,2,>150,29,30,11,9,16,41,>150
SUNY - Binghamton University(Out-of-State),NY,Master,1,21,39,102,12,99,61,>150,55
University of Pennsylvania(Private),PA,Master,1,10,7,93,13,128,>150,>150,6
Santa Clara University(Private),CA,Master,1,>150,82,>150,14,>150,>150,>150,11
Babson College(Private),MA,Master,2,>150,>150,>150,15,>150,>150,>150,>150
Brigham Young University (BYU)(Private),UT,Master,1,>150,16,8,16,7,18,46,45
New Jersey Institute of Technology (NJIT)(In-State),NJ,Master,1,>150,>150,>150,17,48,>150,>150,>150
Brown University(Private),RI,Master,1,6,94,72,18,>150,>150,73,>150
University of Notre Dame(Private),IN,Master,1,19,>150,>150,19,>150,>150,117,114
Villanova University(Private),PA,Master,1,>150,77,109,20,>150,>150,>150,>150
California Polytechnic State University (CalPoly) - San Luis Obispo(Out-of-State),CA,Master,2,>150,43,62,21,14,41,66,>150
Saint Mary's College of California(Private),CA,Master,2,>150,87,>150,22,>150,>150,>150,>150
"Cornell University - Ithaca, NY(Private)",NY,Master,1,8,40,20,23,95,13,50,4
The College of New Jersey (TCNJ)(In-State),NJ,Master,2,>150,33,147,24,>150,66,>150,135
Carnegie Mellon University (CMU)(Private),PA,Master,1,>150,>150,>150,25,53,>150,68,>150
Boston College(Private),MA,Master,1,28,14,36,26,>150,>150,>150,>150
University of Medicine and Dentistry of New Jersey(In-State),NJ,Master,1,29,80,14,27,22,54,92,68
Alaska Pacific University(Private),AK,Master,1,>150,>150,>150,28,>150,>150,>150,>150
Fairfield University(Private),CT,Master,1,>150,61,>150,29,>150,>150,>150,>150
Georgia Institute of Technology(In-State),GA,Master,1,>150,>150,4,30,5,3,88,>150
University of California - Santa Barbara (UCSB)(In-State),CA,Master,1,23,56,33,31,27,59,37,15
George Mason University(In-State),VA,Master,1,32,15,>150,32,26,40,16,14
New Jersey Institute of Technology (NJIT)(Out-of-State),NJ,Master,1,>150,>150,>150,33,94,>150,>150,>150
Polytechnic Institute of New York University (NYU-Poly)(Private),NY,Master,1,58,44,>150,34,34,>150,139,8
University of California - Los Angeles (UCLA)(In-State),CA,Master,1,26,28,42,35,36,6,33,12
The College of New Jersey (TCNJ)(Out-of-State),NJ,Master,2,>150,59,>150,36,>150,143,>150,>150
Bucknell University(Private),PA,Master,2,37,>150,>150,37,>150,>150,144,>150
Brigham Young University (BYU) - Idaho Campus(Private),ID,Master,2,>150,>150,>150,38,>150,>150,>150,>150
The College of William and Mary(In-State),VA,Master,1,25,74,>150,39,29,>150,>150,49
University of Illinois at Urbana-Champaign (UIUC)(In-State),IL,Master,1,108,66,21,40,11,53,62,80
"Miami University - Oxford, OH(In-State)",OH,Master,1,41,46,95,41,72,>150,>150,37
University of Connecticut (UConn) - Main Campus(In-State),CT,Master,1,46,>150,90,42,>150,60,72,35
University of Maryland - College Park(In-State),MD,Master,1,61,68,41,43,16,33,52,87
Wentworth Institute of Technology(Private),MA,Master,2,>150,>150,>150,44,>150,89,>150,>150
Wake Forest University(Private),NC,Master,1,80,37,>150,45,>150,>150,>150,97
University of Texas (UT) - Austin(In-State),TX,Master,1,70,72,51,46,19,69,26,81
"University at Albany, State University of New York (SUNY)(In-State)",NY,Master,1,133,124,>150,47,>150,37,>150,>150
George Washington University (GWU)(Private),DC,Master,1,67,>150,>150,48,>150,>150,>150,28
University of California - Santa Cruz (UCSC)(In-State),CA,Master,1,>150,97,>150,49,46,11,13,30
Washington University in St. Louis(Private),MO,Master,1,66,139,>150,50,>150,>150,>150,52
University of Medicine and Dentistry of New Jersey(Out-of-State),NJ,Master,1,53,>150,38,51,47,148,135,118
"University of California - San Diego (UCSD), Warren College(In-State)",CA,Master,1,55,26,3,52,3,96,14,21
University of Washington (UW) - Main Campus(In-State),WA,Master,1,71,69,>150,53,2,42,51,31
James Madison University (JMU)(In-State),VA,Master,1,34,84,67,54,13,44,>150,123
Virginia Polytechnic Institute and State University (Virginia Tech)(In-State),VA,Master,1,45,107,52,55,25,31,76,18
Fordham University(Private),NY,Master,1,74,34,>150,56,>150,>150,>150,>150
Indiana University (IU) - Bloomington(In-State),IN,Master,1,48,>150,98,57,>150,>150,>150,>150
University of Richmond(Private),VA,Master,2,>150,>150,>150,58,>150,>150,>150,>150
University of Michigan - Ann Arbor(In-State),MI,Master,1,50,50,>150,59,>150,48,74,17
University of Arizona(In-State),AZ,Master,1,62,>150,69,60,>150,>150,101,147
California State University - Chico(In-State),CA,Master,2,88,>150,32,61,77,56,105,>150
"Touro College - New York, NY(Private)",NY,Master,1,>150,>150,>150,62,>150,>150,>150,>150
University of Illinois at Urbana-Champaign (UIUC)(Out-of-State),IL,Master,1,>150,129,57,63,17,>150,94,133
"University at Albany, State University of New York (SUNY)(Out-of-State)",NY,Master,1,>150,>150,>150,64,>150,95,>150,>150
Georgia Institute of Technology(Out-of-State),GA,Master,1,>150,>150,10,65,12,14,>150,>150
Rensselaer Polytechnic Institute (RPI)(Private),NY,Master,1,>150,>150,>150,66,64,>150,>150,>150
University of California - Davis (UC Davis)(In-State),CA,Master,1,69,138,7,67,45,10,77,46
George Mason University(Out-of-State),VA,Master,1,65,24,>150,68,65,>150,44,27
University of Alaska - Fairbanks Campus(In-State),AK,Master,1,>150,>150,>150,69,>150,>150,4,>150
Lafayette College(Private),PA,Master,2,>150,48,>150,70,>150,>150,>150,>150
"Miami University - Oxford, OH(Out-of-State)",OH,Master,1,68,106,>150,71,>150,>150,>150,82
University of Wisconsin (UW) - Madison(In-State),WI,Master,1,92,121,34,72,80,110,130,>150
University of Southern California (USC)(Private),CA,Master,1,125,>150,129,73,>150,>150,>150,103
Hofstra University(Private),NY,Master,1,>150,>150,>150,74,>150,43,>150,100
Texas A&M University - Main Campus(In-State),TX,Master,1,59,91,37,75,111,34,27,132
University of Delaware(In-State),DE,Master,1,31,98,16,76,15,72,99,>150
San Jose State University (SJSU)(In-State),CA,Master,1,56,17,6,77,37,7,28,54
University of California - Santa Barbara (UCSB)(Out-of-State),CA,Master,1,42,>150,148,78,88,>150,90,40
Stony Brook University(In-State),NY,Master,1,>150,32,26,79,31,>150,85,96
James Madison University (JMU)(Out-of-State),VA,Master,1,57,>150,>150,80,24,139,>150,>150
University of California - Los Angeles (UCLA)(Out-of-State),CA,Master,1,54,90,>150,81,114,32,83,22
Milwaukee School of Engineering(Private),WI,Master,2,>150,>150,>150,82,>150,>150,>150,>150
University of Connecticut (UConn) - Main Campus(Out-of-State),CT,Master,1,91,>150,>150,83,>150,>150,123,92
University of Maryland - College Park(Out-of-State),MD,Master,1,115,>150,149,84,38,147,95,>150
University of Iowa (UI)(In-State),IA,Master,1,105,>150,88,85,85,>150,>150,>150
The College of William and Mary(Out-of-State),VA,Master,1,47,>150,>150,86,87,>150,>150,127
Boston University(Private),MA,Master,1,90,>150,>150,87,>150,>150,>150,111
"Loyola University - Baltimore, MD(Private)",MD,Master,1,>150,58,>150,88,>150,>150,>150,>150
SUNY - College at Old Westbury(In-State),NY,Master,2,>150,>150,>150,89,>150,>150,>150,>150
University of Washington - Bothell Campus(In-State),WA,Master,2,>150,>150,>150,90,>150,>150,>150,>150
Rutgers University - Newark Campus(In-State),NJ,Master,1,>150,>150,>150,91,>150,>150,>150,>150
Virginia Polytechnic Institute and State University (Virginia Tech)(Out-of-State),VA,Master,1,72,>150,>150,92,55,114,113,36
California State University - Chico(Out-of-State),CA,Master,2,120,>150,73,93,129,128,150,>150
University of Georgia (UGA)(In-State),GA,Master,1,148,128,>150,94,84,68,>150,86
University of Washington (UW) - Main Campus(Out-of-State),WA,Master,1,134,>150,>150,95,6,>150,96,84
CUNY - Bernard M Baruch College(In-State),NY,Master,2,78,>150,>150,96,>150,>150,>150,19
University of Colorado - Boulder (CU)(In-State),CO,Master,1,>150,54,89,97,20,101,>150,75
Johns Hopkins University(Private),MD,Master,1,>150,143,124,98,>150,>150,59,>150
University of Minnesota - Twin Cities(In-State),MN,Master,1,112,>150,91,99,59,118,131,60
Menlo College(Private),CA,Master,2,>150,>150,>150,100,>150,>150,>150,>150
Michigan State University (MSU)(In-State),MI,Master,1,145,>150,>150,101,>150,>150,>150,>150
University of Alaska - Fairbanks Campus(Out-of-State),AK,Master,1,>150,>150,>150,102,>150,>150,10,>150
Texas Christian University (TCU)(Private),TX,Master,1,>150,>150,>150,103,>150,>150,>150,>150
University of California - Santa Cruz (UCSC)(Out-of-State),CA,Master,1,>150,>150,>150,104,145,81,40,93
American University - Washington D.C.(Private),DC,Master,1,>150,>150,>150,105,>150,>150,>150,64
Bentley University(Private),MA,Master,1,>150,>150,>150,106,119,>150,>150,>150
"University of California - San Diego (UCSD), Warren College(Out-of-State)",CA,Master,1,111,83,13,107,8,>150,49,71
University of Texas (UT) - Austin(Out-of-State),TX,Master,1,144,>150,>150,108,62,>150,75,>150
University of Arizona(Out-of-State),AZ,Master,1,114,>150,>150,109,>150,>150,>150,>150
Pennsylvania State University (Penn State) - Main Campus(In-State),PA,Master,1,135,>150,>150,110,>150,49,>150,>150
Rosemont College(Private),PA,Master,2,>150,>150,>150,111,>150,>150,>150,>150
Sonoma State University(In-State),CA,Master,1,>150,>150,101,112,>150,>150,>150,140
University of Washington - Tacoma Campus(In-State),WA,Master,1,>150,>150,>150,113,>150,>150,>150,>150
San Jose State University (SJSU)(Out-of-State),CA,Master,1,79,23,15,114,61,23,48,88
University of San Francisco (USF)(Private),CA,Master,1,4,>150,>150,115,>150,>150,>150,129
Southern Methodist University (SMU)(Private),TX,Master,1,>150,>150,>150,116,>150,>150,>150,120
CUNY - Bernard M Baruch College(Out-of-State),NY,Master,2,96,>150,>150,117,>150,>150,>150,25
Stony Brook University(Out-of-State),NY,Master,1,>150,65,64,118,54,>150,119,145
Notre Dame of Maryland University(Private),MD,Master,1,>150,>150,>150,119,>150,>150,>150,>150
SUNY - College at Old Westbury(Out-of-State),NY,Master,2,>150,>150,>150,120,>150,>150,>150,>150
University of Massachusetts (UMass) - Amherst Campus(In-State),MA,Master,1,84,146,119,121,69,82,91,128
Indiana University (IU) - Bloomington(Out-of-State),IN,Master,1,95,>150,>150,122,>150,>150,>150,>150
Purdue University - Main Campus(In-State),IN,Master,1,33,>150,97,123,>150,>150,87,141
Wittenberg University(Private),OH,Master,1,>150,>150,>150,124,>150,>150,>150,>150
"Fashion Institute of Technology - New York, NY(In-State)",NY,Master,1,>150,>150,>150,125,>150,1,>150,>150
"Pace University - New York, NY(Private)",NY,Master,1,>150,>150,>150,126,>150,>150,>150,>150
University of Minnesota - Twin Cities(Out-of-State),MN,Master,1,132,>150,140,127,91,>150,>150,83
University of Alaska - Anchorage Campus(In-State),AK,Master,1,>150,>150,>150,128,>150,>150,>150,>150
University of Oklahoma(In-State),OK,Master,1,>150,>150,>150,129,>150,76,29,>150
University of Wisconsin (UW) - Madison(Out-of-State),WI,Master,1,140,>150,103,130,>150,>150,>150,>150
Loyola Marymount University(Private),CA,Master,1,>150,>150,>150,131,>150,84,>150,13
Manhattan College(Private),NY,Master,1,>150,>150,>150,132,>150,>150,108,>150
Texas A&M University - Main Campus(Out-of-State),TX,Master,1,100,>150,116,133,>150,130,61,>150
"Victoria University - Victoria, TX(In-State)",TX,Master,1,>150,>150,>150,134,>150,>150,>150,>150
California State University - Northridge (CSUN)(In-State),CA,Master,1,>150,120,75,135,35,26,>150,>150
University of Delaware(Out-of-State),DE,Master,1,60,>150,54,136,32,>150,>150,>150
Arizona State University (ASU)(In-State),AZ,Master,1,49,>150,>150,137,71,77,118,>150
Northeastern University(Private),MA,Master,1,118,>150,118,138,>150,132,125,42
CUNY - Queens College(In-State),NY,Master,1,87,>150,>150,139,109,>150,>150,33
Caldwell College(Private),NJ,Master,1,>150,>150,>150,140,>150,>150,>150,>150
"Seton Hall University - South Orange, NJ(Private)",NJ,Master,1,>150,132,>150,141,>150,>150,>150,>150
William Paterson University(In-State),NJ,Master,1,>150,>150,66,142,>150,103,>150,137
"Clarkson University - Potsdam, NY(Private)",NY,Master,1,>150,>150,>150,143,>150,>150,>150,>150
Case Western Reserve University(Private),OH,Master,1,>150,>150,>150,144,>150,>150,>150,>150
Columbia University(Private),NY,Master,1,12,31,>150,145,74,>150,8,34
Felician College(Private),NJ,Master,1,>150,>150,>150,146,>150,>150,>150,>150
Rutgers University - Newark Campus(Out-of-State),NJ,Master,1,>150,>150,>150,147,>150,>150,>150,>150
University of Massachusetts (UMass) - Lowell Campus(In-State),MA,Master,1,>150,89,25,148,49,38,82,113
University of Houston (UH)(In-State),TX,Master,1,>150,45,>150,149,96,>150,25,>150
Catholic University of America(Private),DC,Master,1,>150,22,>150,150,>150,>150,>150,>150
Massachusetts Institute of Technology (MIT)(Private),MA,Master,1,>150,>150,5,>150,102,>150,15,>150
Duke University(Private),NC,Master,1,17,3,9,>150,>150,>150,39,3
Harvard University(Private),MA,Master,1,1,10,11,>150,>150,>150,47,1
San Francisco State University (SFSU)(In-State),CA,Master,1,>150,76,12,>150,23,22,>150,44
Idaho State University (ISU)(In-State),ID,Master,1,>150,>150,17,>150,>150,>150,>150,>150
Colorado School of Mines(In-State),CO,Master,1,>150,>150,18,>150,51,>150,64,>150
Harvey Mudd College(Private),CA,Master,1,>150,>150,19,>150,>150,>150,54,>150
Stanford University(Private),CA,Master,1,2,>150,22,>150,18,64,19,5
University of North Carolina at Chapel Hill (UNC)(In-State),NC,Master,1,36,111,23,>150,39,135,>150,104
Dartmouth College(Private),NH,Master,1,15,8,24,>150,44,>150,>150,>150
San Diego State University (SDSU) - Main Campus(In-State),CA,Master,1,124,145,27,>150,122,29,143,126
California State University - Hayward(In-State),CA,Master,2,>150,125,28,>150,30,115,>150,78
San Francisco State University (SFSU)(Out-of-State),CA,Master,1,>150,127,29,>150,41,58,>150,72
California State University - Bakersfield (CSUB)(In-State),CA,Master,2,>150,>150,31,>150,>150,>150,>150,>150
University of California - Davis (UC Davis)(Out-of-State),CA,Master,1,139,>150,35,>150,144,80,141,124
Sam Houston State University(In-State),TX,Master,1,>150,>150,39,>150,28,>150,>150,>150
Idaho State University (ISU)(Out-of-State),ID,Master,1,>150,>150,40,>150,>150,>150,>150,>150
Saginaw Valley State University (SVSU)(In-State),MI,Master,2,>150,>150,43,>150,>150,>150,>150,>150
University of Utah(In-State),UT,Master,1,102,96,44,>150,42,113,112,>150
California State University - Los Angeles (CSULA)(In-State),CA,Master,2,>150,>150,45,>150,>150,>150,>150,>150
University of California - Irvine (UCI)(In-State),CA,Master,1,101,49,46,>150,21,136,>150,41
Colorado School of Mines(Out-of-State),CO,Master,1,>150,>150,48,>150,112,>150,98,>150
California State University - Fullerton (CSUF)(In-State),CA,Master,2,147,>150,50,>150,>150,51,>150,76
Weber State University(In-State),UT,Master,1,>150,67,53,>150,60,>150,>150,>150
San Diego State University (SDSU) - Main Campus(Out-of-State),CA,Master,1,>150,>150,55,>150,>150,73,>150,>150
North Carolina State University (NCSU)(In-State),NC,Master,1,97,>150,56,>150,113,5,>150,>150
University of Kansas(In-State),KS,Master,1,>150,>150,58,>150,108,111,>150,102
Bloomsburg University of Pennsylvania(In-State),PA,Master,2,>150,>150,59,>150,>150,>150,>150,>150
California State University - Hayward(Out-of-State),CA,Master,1,>150,>150,60,>150,50,>150,>150,116
